test_accuracy,overall_accuracy,test_f1,overall_f1,test_precision,test_recall,overall_precision,overall_recall,period_param,lag,min
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.59,0.62,0.67,0.71,0.51,0.98,0.55,0.98,12.0,0.0,5.0
0.6,0.68,0.65,0.74,0.51,0.89,0.59,0.97,12.0,0.0,15.0
0.59,0.61,0.67,0.7,0.51,0.98,0.54,0.98,12.0,8.0,5.0
0.6,0.56,0.68,0.67,0.51,1.0,0.51,0.98,12.0,24.0,5.0
0.59,0.58,0.67,0.68,0.51,0.99,0.53,0.98,12.0,32.0,5.0
0.6,0.69,0.66,0.74,0.51,0.91,0.6,0.97,12.0,32.0,15.0
0.59,0.56,0.67,0.67,0.51,0.99,0.51,0.98,16.0,0.0,5.0
0.6,0.72,0.63,0.76,0.52,0.82,0.62,0.97,16.0,8.0,15.0
0.59,0.65,0.66,0.72,0.51,0.95,0.57,0.97,16.0,16.0,5.0
0.59,0.59,0.66,0.69,0.51,0.96,0.53,0.98,16.0,24.0,5.0
0.59,0.61,0.67,0.7,0.51,0.97,0.54,0.98,16.0,32.0,5.0
0.6,0.72,0.61,0.75,0.52,0.75,0.63,0.93,24.0,16.0,15.0
0.59,0.7,0.64,0.75,0.51,0.87,0.61,0.97,24.0,24.0,5.0
0.59,0.72,0.63,0.76,0.51,0.82,0.63,0.96,32.0,8.0,15.0
0.59,0.65,0.66,0.72,0.51,0.93,0.57,0.98,48.0,0.0,15.0
0.59,0.56,0.67,0.67,0.51,0.99,0.51,0.98,48.0,32.0,5.0
0.59,0.68,0.62,0.73,0.51,0.8,0.59,0.96,48.0,32.0,15.0
0.59,0.7,0.63,0.74,0.51,0.81,0.62,0.93,72.0,0.0,5.0
0.59,0.73,0.62,0.77,0.51,0.8,0.63,0.97,72.0,0.0,15.0
0.59,0.63,0.65,0.71,0.51,0.91,0.55,0.98,72.0,8.0,15.0
